party_name,candidate_name,candidate_id,deputy_name,has_details,detail_url
MOVIMIENTO CIUDADANO,DAVID SANCHEZ CAMACHO,10429,ALFONSO GORDILLO VAZQUEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10429
MOVIMIENTO CIUDADANO,LEONOR ALEJANDRA PADILLA ARELLANO,10437,ADOLFINA PEREZ HERNANDEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10437
MOVIMIENTO CIUDADANO,ELIAS CARDENAS MARQUEZ,10431,ANDRES SANCHEZ CRUZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10431
MOVIMIENTO CIUDADANO,MARTHA PATRICIA PANTOJA SANDOVAL,10433,MARIA GUADALUPE VELAZQUEZ GARCIA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10433
MOVIMIENTO CIUDADANO,ELIAS GARCIA APARICIO,10439,EDGAR ALEJANDRO GARCIA SOTO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10439
MOVIMIENTO CIUDADANO,JANNETE ALEJANDRA RAMIREZ AGUILAR,10451,TERESA STEPHANY LOPEZ RIVERA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10451
MOVIMIENTO CIUDADANO,GILBERTO GALVEZ LOPEZ,10459,MANUEL ALEJANDRO PIÑEIRO BARRERA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10459
MOVIMIENTO CIUDADANO,GARDELIA EVILLANO ALVAREZ,10467,ROCIO ITURBE CAMPOS,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10467
MOVIMIENTO CIUDADANO,MARTIN ANSELMO MUÑOZ MUNGUIA,10443,JOSE GILBERTO LOPEZ RODRIGUEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10443
MOVIMIENTO CIUDADANO,MARIA TERESA NOGUERON MANCILLA,10335,REYNA LEONOR PALAFOX CEDEÑO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10335
